8,8,8,8,8,8,8,8,32,8,-0.4000847205011096
7,7,8,8,7,8,8,8,29,8,-0.7785769160321655
5,6,8,8,7,8,8,8,27,8,-0.668318459839056
5,6,8,8,7,8,7,7,25,8,-0.3323281976343877
3,5,8,6,7,6,7,7,23,7,0.16377927546693388
3,5,8,4,7,5,7,6,22,7,-0.243710118795673
3,4,7,3,6,5,7,5,21,6,-0.08701052997438494
3,4,7,3,6,5,6,5,18,6,0.43330787753462224
3,4,6,3,6,5,6,2,18,5,0.3301608437648053
3,3,6,3,6,3,6,2,16,5,0.015791482559263548
2,3,6,2,6,3,5,2,14,4,-0.3444939880776031
2,2,4,1,6,3,4,2,13,4,-0.3918555443077628
1,1,3,1,5,3,4,2,11,3,0.30244952933075964
1,1,3,1,5,2,4,1,9,3,0.48995273219575863
0,1,3,0,5,2,2,0,8,3,0.9674067780589993
0,0,2,0,4,2,2,0,5,2,0.26692222852373554
8,8,8,8,8,8,8,8,32,8,-0.4000847205011096
8,6,8,8,8,8,8,6,30,8,-0.38809089922352136
7,6,7,8,8,8,7,6,28,7,0.19991653580127144
6,5,7,7,8,8,7,6,27,6,0.17381907896322335
6,5,7,7,8,8,7,6,26,5,0.18760491723103168
6,4,7,6,8,8,7,5,24,5,0.14440720781070465
5,4,5,5,8,7,6,5,24,5,-0.213791340000274
5,4,5,4,7,5,5,5,22,5,-0.6798309778814011
5,4,5,4,7,4,5,5,19,5,-1.2043809435566135
5,4,5,3,7,4,5,5,15,5,-0.18145758043266885
5,3,5,3,6,4,5,4,14,4,-0.4642822061435005
5,2,4,2,6,3,5,3,14,3,-0.6475190305769873
4,2,4,2,5,3,5,3,12,2,-0.3587438008852729
4,2,3,2,3,3,5,3,11,1,1.0302282824605107
4,2,2,2,3,3,3,2,10,1,-0.34556625263013174
4,2,1,1,0,3,3,2,9,1,-0.2520060393366856
4,0,1,1,0,3,2,2,6,1,0.13204568193538757
4,0,1,1,0,3,2,2,5,0,0.3405080177746235
