15,16,16,16,16,14,16,15,63,16,0
14,14,15,15,16,11,16,14,60,16,1
14,12,13,13,15,10,16,14,56,16,0
14,12,11,12,14,8,16,13,53,16,0
13,12,10,12,13,6,16,12,49,16,0
10,12,10,12,10,5,16,11,45,16,1
7,12,10,12,8,4,13,10,43,15,0
3,6,5,6,4,2,5,5,20,7,0
8,18,15,16,12,6,15,13,53,19,1
4,12,10,8,6,4,10,7,29,12,0
3,10,9,7,3,4,9,6,27,12,1
1,6,8,6,2,4,8,5,24,11,1
0,4,7,5,2,4,8,3,21,9,0
0,3,6,3,2,3,8,2,18,8,1
0,2,5,2,1,2,8,2,15,7,0
0,2,4,2,0,2,8,2,13,5,0
0,2,2,1,0,1,7,1,12,3,1
16,13,16,16,16,15,14,16,63,16,1
16,9,16,16,15,14,12,16,59,16,1
24,11,22,24,19,21,18,19,79,24,0
16,6,14,16,12,14,12,10,45,15,1
16,6,13,16,12,14,11,10,39,13,0
19,7,17,22,18,19,15,15,48,18,0
9,3,10,12,11,11,10,9,27,12,0
8,1,10,11,10,10,9,7,26,11,0
8,0,10,8,10,9,8,6,24,8,0
7,0,7,6,9,8,7,6,21,6,0
5,0,4,6,7,8,5,5,19,6,0
3,0,3,4,6,8,4,3,18,5,0
2,0,2,1,5,7,4,2,16,4,1
2,0,2,0,4,5,4,1,12,4,0
15,16,16,13,15,16,16,15,64,16,0
14,16,16,9,13,16,15,14,62,16,0
14,16,16,8,12,16,13,14,57,16,0
14,16,14,8,12,16,12,12,54,14,0
14,16,11,8,11,16,12,9,52,12,0
14,16,10,7,10,16,12,7,47,12,1
13,16,9,6,10,15,12,6,41,12,0
11,16,7,5,10,12,12,6,37,12,0
15,22,6,2,12,14,18,8,51,16,0
9,13,2,0,6,8,12,4,30,9,0
8,11,2,0,5,8,12,4,25,8,1
6,9,2,0,4,7,10,4,21,8,0
4,8,2,0,4,6,8,4,19,7,0
6,10,1,0,4,5,10,5,24,8,1
2,2,0,0,0,1,2,1,7,2,1
4,3,0,0,0,2,3,2,11,4,1
16,16,16,15,14,15,16,16,64,13,1
15,15,16,14,12,14,14,15,62,10,1
7,7,7,6,6,7,6,7,30,5,1
13,14,14,10,12,14,12,14,57,10,0
12,14,13,8,12,13,12,14,51,9,1
16,17,16,11,18,16,17,20,69,10,1
9,10,8,6,11,9,10,10,43,6,0
8,10,8,5,10,8,7,8,41,6,0
4,5,4,2,5,4,2,3,20,3,1
8,10,8,4,10,8,3,5,38,6,0
8,10,8,4,10,7,1,4,34,6,1
8,10,8,4,9,6,0,4,28,6,1
11,13,12,6,10,7,0,4,32,5,1
5,7,8,4,6,1,0,2,15,1,1
4,5,5,3,5,0,0,2,11,0,0
1,2,1,1,1,0,0,1,5,0,0
16,16,16,16,16,15,15,16,62,16,1
16,16,16,16,14,14,14,15,58,16,1
14,15,16,15,12,13,14,14,55,16,0
16,20,24,21,16,16,20,19,76,24,1
10,12,15,14,10,10,11,11,44,16,0
10,12,14,13,10,10,10,9,41,13,0
10,11,14,11,10,10,10,7,40,8,0
10,10,14,10,9,10,10,5,37,6,1
8,10,12,10,8,7,10,4,34,5,0
6,9,9,9,8,4,10,4,31,4,1
6,7,8,7,7,4,10,4,27,3,1
5,5,7,5,6,4,9,4,24,2,0
4,2,5,4,6,3,7,4,21,2,0
4,0,3,4,5,2,5,4,18,2,0
4,0,1,4,3,2,4,4,15,1,1
3,0,0,4,2,2,4,3,11,0,0
16,16,15,16,16,16,16,15,61,15,1
16,15,14,15,16,15,14,14,57,14,1
15,14,14,14,15,14,12,14,54,14,0
21,19,19,19,21,19,18,19,75,20,0
14,12,11,11,14,10,12,12,46,11,1
7,6,5,5,7,4,6,6,21,4,1
14,12,10,10,14,8,12,12,41,7,0
18,13,14,15,17,10,16,18,57,7,0
10,6,7,9,7,5,10,11,35,4,1
10,6,6,8,6,3,9,9,33,4,0
15,9,9,11,8,2,12,11,39,6,1
8,6,6,5,3,0,7,6,21,3,0
6,6,6,4,2,0,6,5,18,1,1
4,5,6,4,1,0,6,3,15,0,0
2,4,5,4,0,0,6,1,11,0,1
15,15,15,16,15,16,15,16,64,14,0
14,14,14,15,14,15,13,16,62,12,0
12,14,14,14,13,13,12,16,58,12,1
14,19,20,17,16,18,18,22,80,17,0
8,12,12,9,10,10,12,13,49,9,1
8,12,12,8,9,8,11,12,47,7,1
7,12,12,7,8,8,9,11,44,6,0
7,16,17,8,8,10,12,14,58,9,1
4,9,10,4,2,6,7,8,33,6,0
4,7,10,4,1,5,6,8,28,6,1
4,6,9,4,0,4,6,7,23,5,1
3,5,7,4,0,4,6,5,18,4,1
2,4,6,4,0,4,6,4,15,3,0
2,6,6,4,0,6,8,4,14,1,1
16,15,15,16,15,16,15,15,64,15,0
16,14,13,15,13,16,14,13,62,14,0
24,19,18,21,16,21,21,18,84,20,0
16,12,11,14,8,11,13,11,54,11,1
14,12,9,14,8,10,12,9,52,10,1
12,12,8,14,7,8,12,8,48,9,0
12,11,8,14,5,6,12,8,43,7,0
10,10,8,14,4,6,11,8,37,6,1
8,9,7,13,4,6,10,7,32,6,1
8,8,5,12,3,5,9,6,29,6,0
8,8,4,12,2,4,7,6,25,6,0
8,6,3,9,2,4,6,6,21,6,0
8,4,2,6,2,3,6,5,19,5,1
7,4,2,6,2,1,6,3,16,4,0
6,4,1,5,1,0,5,2,12,4,1
4,3,0,4,0,0,4,2,7,2,1
1,0,0,2,0,0,2,1,1,0,1
15,15,16,16,15,16,16,14,63,15,1
14,14,16,16,14,16,15,12,59,14,1
14,13,15,16,13,15,14,11,56,13,1
14,12,14,16,12,13,14,10,53,12,1
18,17,19,20,16,18,20,15,72,14,1
15,14,18,18,15,18,17,15,55,12,0
10,8,12,11,10,12,8,10,29,7,1
10,8,12,9,9,12,6,9,26,6,0
9,8,10,8,8,10,6,8,22,6,0
4,4,4,4,4,4,3,4,9,3,0
8,8,8,7,8,8,6,7,16,6,0
8,6,7,6,7,8,6,6,12,6,0
8,4,6,6,6,8,5,5,9,5,1
8,4,6,6,6,7,3,4,7,2,1
4,2,2,3,2,3,1,1,3,0,1
8,3,4,6,3,4,2,2,5,0,0
6,2,3,5,2,1,2,1,3,0,0
16,15,15,16,16,16,16,16,63,15,1
14,14,14,16,16,15,16,14,61,14,1
12,14,14,16,16,14,16,12,57,13,1
11,13,12,16,15,14,16,12,52,12,0
10,12,9,16,14,13,16,10,49,11,0
10,11,8,16,13,12,16,8,46,10,0
10,10,8,16,12,12,16,8,43,9,0
9,10,7,16,11,12,16,8,39,8,0
7,10,6,15,10,12,15,7,36,6,0
9,14,9,21,15,18,17,7,48,6,0
5,8,5,13,9,12,9,2,28,3,1
4,8,3,12,8,11,7,1,27,2,1
4,8,1,11,8,10,6,0,23,1,1
6,9,0,14,10,12,9,0,23,0,0
4,3,0,7,4,4,5,0,11,0,1
17,17,16,19,18,17,18,16,67,15,1
14,16,16,16,16,16,15,15,58,14,0
14,16,16,15,16,16,14,13,54,14,0
13,16,16,14,15,16,14,10,52,13,1
18,24,23,20,21,22,19,10,74,18,0
10,15,14,11,13,14,12,6,44,12,1
12,19,21,15,18,19,13,9,58,18,1
8,12,14,10,11,12,6,5,31,12,1
7,12,14,9,9,12,6,3,27,12,0
4,10,13,8,7,12,6,2,26,11,0
2,7,11,8,6,11,6,2,24,7,1
2,6,10,8,6,10,5,1,20,4,0
1,6,10,8,6,8,3,0,17,4,0
0,8,13,11,7,5,3,0,19,5,1
0,4,8,4,3,2,2,0,6,2,0
14,16,16,16,16,16,16,16,61,16,0
11,15,16,15,16,15,15,16,57,16,0
10,14,16,14,15,14,14,15,53,16,1
